country_text_id;country
ARG;Argentina
AUL;Australia
AUT;Austria
BAH;Bahamas
BAR;Barbados
BEL;Belgium
BOT;Botswana
CAN;Canada
CR;Costa Rica
DEN;Denmark
FIN;Finland
FRA;France
GER;Germany
GRE;Greece
ICE;Iceland
IND;India
IRE;Ireland
ISR;Israel
ITA;Italy
JAM;Jamaica
JPN;Japan
KOR;South Korea
LUX;Luxembourg
MAL;Malta
MAU;Mauritius
NET;Netherlands
NOR;Norway
NZ;New Zealand
POR;Portugal
SPA;Spain
SWE;Sweden
SWI;Switzerland
TRI;Trinidad and Tobago
UK;United Kingdom
URU;Uruguay
US;United States of America
