country;years;WVS 2010-2014;WVS 2005-2009;WVS 2000-2004;Summe
Albania;13;0;0;1;1
Argentina;9;1;1;1;3
Australia;18;1;1;0;2
Austria;1;0;0;0;0
Belgium;18;0;0;0;0
Benin;1;0;0;0;0
Bosnia and Herzegovina;14;0;0;1;1
Botswana;18;0;0;0;0
Brazil;10;1;1;0;2
Bulgaria;12;0;1;0;1
Burkina Faso;1;0;0;0;0
Canada;18;0;1;1;2
Cape Verde;17;0;0;0;0
Chile;6;1;1;1;3
Colombia;2;0;0;0;0
Costa Rica;18;0;0;0;0
Croatia;11;0;0;0;0
Cyprus;8;0;0;0;0
Czech Republic;18;0;0;0;0
Denmark;18;0;0;0;0
Estonia;18;1;0;0;1
Fiji;4;0;0;0;0
Finland;11;0;1;0;1
France;18;0;1;0;1
Georgia;6;0;0;0;0
Germany;18;1;1;0;2
Ghana;3;1;1;0;2
Greece;18;0;0;0;0
Guyana;3;0;0;0;0
Hungary;17;0;1;0;1
Iceland;12;0;0;0;0
India;17;1;1;1;3
Indonesia;6;0;1;1;2
Ireland;18;0;0;0;0
Israel;16;0;0;1;1
Italy;18;0;1;0;1
Jamaica;18;0;0;0;0
Japan;14;1;1;1;3
Latvia;13;0;0;0;0
Liberia;1;0;0;0;0
Lithuania;11;0;0;0;0
Luxembourg;18;0;0;0;0
Macedonia;5;0;0;1;1
Mauritius;18;0;0;0;0
Moldova;6;0;0;1;1
Mongolia;5;0;0;0;0
Montenegro;5;0;0;1;1
Namibia;18;0;0;0;0
Nepal;4;0;0;0;0
Netherlands;18;1;1;0;2
New Zealand;18;1;1;0;2
Norway;17;0;1;0;1
Panama;18;0;0;0;0
Peru;10;1;1;1;3
Poland;16;1;1;0;2
Portugal;12;0;0;0;0
Romania;8;0;1;0;1
São Tomé and Príncipe;8;0;0;0;0
Senegal;17;0;0;0;0
Serbia;8;0;0;0;0
Seychelles;8;0;0;0;0
Slovakia;11;0;0;0;0
Slovenia;3;1;1;0;2
Solomon Islands;1;0;0;0;0
South Africa;18;1;1;1;3
South Korea;3;1;1;1;3
Spain;18;1;1;1;3
Suriname;3;0;0;0;0
Sweden;18;1;1;1;3
Switzerland;18;0;1;0;1
Tanzania;9;0;0;1;1
Timor-Leste;8;0;0;0;0
Trinidad and Tobago;18;1;1;0;2
Tunisia;4;1;0;0;1
Turkey;6;1;1;1;3
United Kingdom;17;0;1;0;1
United States of America;16;1;1;1;3
Uruguay;18;1;1;0;2
Vanuatu;14;0;0;0;0
Zambia;1;0;1;0;1
